Found path: /home/ubuntu/VisualBanana_Linux/Banana.x86_64
Mono path[0] = '/home/ubuntu/VisualBanana_Linux/Banana_Data/Managed'
Mono config path = '/home/ubuntu/VisualBanana_Linux/Banana_Data/MonoBleedingEdge/etc'
Preloaded 'ScreenSelector.so'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	ScreenSelector.so
	libgrpc_csharp_ext.x86.so
Logging to /home/ubuntu/.config/unity3d/Unity Technologies/Unity Environment/Player.log
ALSA lib confmisc.c:768:(parse_card) cannot find card '0'
ALSA lib conf.c:4292:(_snd_config_evaluate) function snd_func_card_driver returned error: No such file or directory
ALSA lib confmisc.c:392:(snd_func_concat) error evaluating strings
ALSA lib conf.c:4292:(_snd_config_evaluate) function snd_func_concat returned error: No such file or directory
ALSA lib confmisc.c:1251:(snd_func_refer) error evaluating name
ALSA lib conf.c:4292:(_snd_config_evaluate) function snd_func_refer returned error: No such file or directory
ALSA lib conf.c:4771:(snd_config_expand) Evaluate error: No such file or directory
ALSA lib pcm.c:2266:(snd_pcm_open_noupdate) Unknown PCM default
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		
Unity brain name: BananaBrain
        Number of Visual Observations (per agent): 1
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 0
        Number of stacked Vector Observation: 1
        Vector Action space type: discrete
        Vector Action space size (per agent): 4
        Vector Action descriptions: , , , 
Starting new process with global episode number  0
Episode 70	Average Score: -0.10
Episode 70	Average Score: -0.10
Episode 71	Average Score: -0.11
Episode 72	Average Score: -0.15
Episode 73	Average Score: -0.12
Episode 74	Average Score: -0.11
Episode 75	Average Score: -0.09
Episode 76	Average Score: -0.09
Episode 77	Average Score: -0.08
Episode 78	Average Score: -0.08
Episode 79	Average Score: -0.07
Episode 80	Average Score: -0.09
Episode 80	Average Score: -0.09
Episode 81	Average Score: -0.09
Episode 82	Average Score: -0.08
Episode 83	Average Score: -0.10
Episode 84	Average Score: -0.09
Episode 85	Average Score: -0.07
Episode 86	Average Score: -0.07
Episode 87	Average Score: -0.07
Episode 88	Average Score: -0.06
Episode 89	Average Score: -0.07
Episode 90	Average Score: -0.08
Episode 90	Average Score: -0.08
Episode 91	Average Score: -0.07
Episode 92	Average Score: -0.06
Episode 93	Average Score: -0.06
Episode 94	Average Score: -0.08
Episode 95	Average Score: -0.07
Episode 96	Average Score: -0.05
Episode 97	Average Score: -0.04
Episode 98	Average Score: -0.04
Episode 99	Average Score: -0.02
Episode 100	Average Score: -0.02
Episode 100	Average Score: -0.02
Episode 101	Average Score: -0.02
Episode 102	Average Score: -0.01
Episode 103	Average Score: -0.05
Episode 104	Average Score: -0.07
Episode 105	Average Score: -0.06
Episode 106	Average Score: -0.09
Episode 107	Average Score: -0.06
Episode 108	Average Score: -0.07
Episode 109	Average Score: -0.11
Episode 110	Average Score: -0.13
Episode 110	Average Score: -0.13
Episode 111	Average Score: -0.13
Episode 112	Average Score: -0.10
Episode 113	Average Score: -0.09
Episode 114	Average Score: -0.07
Episode 115	Average Score: -0.08
Episode 116	Average Score: -0.08
Episode 117	Average Score: -0.07
Episode 118	Average Score: -0.02
Episode 119	Average Score: -0.01
Episode 120	Average Score: 0.00
Episode 120	Average Score: 0.00
Episode 121	Average Score: 0.00
Episode 122	Average Score: 0.02
Episode 123	Average Score: 0.02
Episode 124	Average Score: 0.03
Episode 125	Average Score: 0.02
Episode 126	Average Score: 0.01
Episode 127	Average Score: 0.02
Episode 128	Average Score: 0.02
Episode 129	Average Score: 0.01
Episode 130	Average Score: 0.00
Episode 130	Average Score: 0.00
Episode 131	Average Score: 0.03
Episode 132	Average Score: 0.01
Episode 133	Average Score: 0.01
Episode 134	Average Score: -0.01
Episode 135	Average Score: 0.00
Episode 136	Average Score: 0.05
Episode 137	Average Score: 0.05
Episode 138	Average Score: 0.05
Episode 139	Average Score: 0.06
Episode 140	Average Score: 0.11
Episode 140	Average Score: 0.11
Episode 141	Average Score: 0.11
Episode 142	Average Score: 0.08
Episode 143	Average Score: 0.05
Episode 144	Average Score: 0.03
